algorithm,filename,Input SNR,utterances,phonemes,pesq,pesqImp,segSNR,segSNRImp
mohammadiaOnline,mohammadiaOnline_001ut-3dB.wav,-3,1,-1,2.835218,0.188668,4.925946,-2.01E+01
mohammadiaOnline,mohammadiaOnline_001ut-6dB.wav,-6,1,-1,3.302675,0.794552,8.047903,-1.40E+01
mohammadiaOnline,mohammadiaOnline_001ut00dB.wav,0,1,-1,2.538945,-0.249708,5.465338,-2.21E+01
mohammadiaOnline,mohammadiaOnline_001ut03dB.wav,3,1,-1,1.130126,-1.806691,2.717508,-2.64E+01
mohammadiaOnline,mohammadiaOnline_001ut06dB.wav,6,1,-1,1.388689,-1.703273,3.545126,-2.69E+01
mohammadiaOnline,mohammadiaOnline_005ut-3dB.wav,-3,5,-1,2.79003,0.14348,5.694245,-1.94E+01
mohammadiaOnline,mohammadiaOnline_005ut-6dB.wav,-6,5,-1,3.092217,0.584094,8.443617,-1.37E+01
mohammadiaOnline,mohammadiaOnline_005ut00dB.wav,0,5,-1,1.130542,-1.658111,6.537029,-2.11E+01
mohammadiaOnline,mohammadiaOnline_005ut03dB.wav,3,5,-1,1.168647,-1.768171,3.151413,-2.59E+01
mohammadiaOnline,mohammadiaOnline_005ut06dB.wav,6,5,-1,1.307211,-1.784751,3.396897,-2.71E+01
mohammadiaOnline,mohammadiaOnline_010ut-3dB.wav,-3,10,-1,3.512431,0.865881,4.630553,-2.04E+01
mohammadiaOnline,mohammadiaOnline_010ut-6dB.wav,-6,10,-1,3.062751,0.554627,7.101296,-1.50E+01
mohammadiaOnline,mohammadiaOnline_010ut00dB.wav,0,10,-1,1.924263,-0.86439,3.359232,-2.42E+01
mohammadiaOnline,mohammadiaOnline_010ut03dB.wav,3,10,-1,1.182897,-1.753921,2.628684,-2.65E+01
mohammadiaOnline,mohammadiaOnline_010ut06dB.wav,6,10,-1,1.360169,-1.731793,2.841976,-2.76E+01
mohammadiaOnline,mohammadiaOnline_050ut-3dB.wav,-3,50,-1,2.865453,0.218903,11.808096,-1.32E+01
mohammadiaOnline,mohammadiaOnline_050ut-6dB.wav,-6,50,-1,3.259305,0.751182,11.742532,-1.04E+01
mohammadiaOnline,mohammadiaOnline_050ut00dB.wav,0,50,-1,2.471485,-0.317168,11.250474,-1.64E+01
mohammadiaOnline,mohammadiaOnline_050ut03dB.wav,3,50,-1,1.040603,-1.896215,6.225807,-2.29E+01
mohammadiaOnline,mohammadiaOnline_050ut06dB.wav,6,50,-1,1.148313,-1.943648,8.014813,-2.24E+01
mohammadiaOnline,mohammadiaOnline_080ut-3dB.wav,-3,80,-1,2.852867,0.206317,13.636311,-1.14E+01
mohammadiaOnline,mohammadiaOnline_080ut-6dB.wav,-6,80,-1,3.032956,0.524832,8.768991,-1.33E+01
mohammadiaOnline,mohammadiaOnline_080ut00dB.wav,0,80,-1,2.774566,-0.014087,12.071064,-1.55E+01
mohammadiaOnline,mohammadiaOnline_080ut03dB.wav,3,80,-1,1.035673,-1.901144,7.614512,-2.15E+01
mohammadiaOnline,mohammadiaOnline_080ut06dB.wav,6,80,-1,1.26507,-1.826892,7.286034,-2.32E+01
mohammadiaSupervised,mohammadiaSupervised_001ut-3dB.wav,-3,1,-1,2.571693,-0.074857,6.705563,-1.83E+01
