------------------------ Sentence Scores --------------------------
====================== HTK Results Analysis =======================
  Date: Mon Sep 22 21:08:01 2014
  Ref : >sh/Documents/ThesisData/ASR/ClassifierTraining/Configs/EvalPhones.mlf
  Rec : >Documents/ThesisData/ASR/ClassifierTraining/Configs/EvalMFCPhones.mlf
-------------------------- File Results ---------------------------
10IDBM_005ut-3dB.rec:   21.57( 17.83)  [H= 121, D=243, S=197, I= 21, N=561]
10IDBM_005ut-6dB.rec:   22.64( 16.22)  [H= 127, D=242, S=192, I= 36, N=561]
10IDBM_005ut00dB.rec:   21.39( 17.65)  [H= 120, D=244, S=197, I= 21, N=561]
10IDBM_005ut03dB.rec:   22.10( 17.11)  [H= 124, D=232, S=205, I= 28, N=561]
10IDBM_005ut06dB.rec:   21.93( 18.36)  [H= 123, D=245, S=193, I= 20, N=561]
10MMSE_005ut-3dB.rec:   29.23( -3.21)  [H= 164, D= 64, S=333, I=182, N=561]
10MMSE_005ut-6dB.rec:   26.56( -4.63)  [H= 149, D= 51, S=361, I=175, N=561]
10MMSE_005ut00dB.rec:   28.52(  0.00)  [H= 160, D= 49, S=352, I=160, N=561]
10MMSE_005ut03dB.rec:   31.37(  0.89)  [H= 176, D= 65, S=320, I=171, N=561]
10MMSE_005ut06dB.rec:   35.29(  4.10)  [H= 198, D= 73, S=290, I=175, N=561]
10phonemeIDBM_001ph-3dB.rec:    2.32(  2.32)  [H=  13, D=548, S=  0, I=  0, N=561]
10phonemeIDBM_001ph-6dB.rec:    1.78(  1.78)  [H=  10, D=551, S=  0, I=  0, N=561]
10phonemeIDBM_001ph00dB.rec:    3.39(  3.39)  [H=  19, D=540, S=  2, I=  0, N=561]
10phonemeIDBM_001ph03dB.rec:    3.03(  3.03)  [H=  17, D=541, S=  3, I=  0, N=561]
10phonemeIDBM_001ph06dB.rec:    3.03(  3.03)  [H=  17, D=543, S=  1, I=  0, N=561]
10phonemeIDBM_005ph-3dB.rec:    0.53(  0.53)  [H=   3, D=558, S=  0, I=  0, N=561]
10phonemeIDBM_005ph-6dB.rec:    0.53(  0.53)  [H=   3, D=558, S=  0, I=  0, N=561]
10phonemeIDBM_005ph00dB.rec:    0.89(  0.89)  [H=   5, D=556, S=  0, I=  0, N=561]
10phonemeIDBM_005ph03dB.rec:    1.25(  1.25)  [H=   7, D=554, S=  0, I=  0, N=561]
10phonemeIDBM_005ph06dB.rec:    2.50(  2.50)  [H=  14, D=547, S=  0, I=  0, N=561]
10phonemeIDBM_010ph-3dB.rec:   14.62( 13.19)  [H=  82, D=374, S=105, I=  8, N=561]
10phonemeIDBM_010ph-6dB.rec:   15.15( 14.08)  [H=  85, D=367, S=109, I=  6, N=561]
10phonemeIDBM_010ph00dB.rec:   14.62( 13.37)  [H=  82, D=372, S=107, I=  7, N=561]
10phonemeIDBM_010ph03dB.rec:   14.62( 13.19)  [H=  82, D=378, S=101, I=  8, N=561]
10phonemeIDBM_010ph06dB.rec:    9.80(  9.63)  [H=  55, D=484, S= 22, I=  1, N=561]
10phonemeMMSE_001ph-3dB.rec:   29.23( -3.21)  [H= 164, D= 64, S=333, I=182, N=561]
10phonemeMMSE_001ph-6dB.rec:   26.56( -4.63)  [H= 149, D= 51, S=361, I=175, N=561]
10phonemeMMSE_001ph00dB.rec:   28.52(  0.00)  [H= 160, D= 49, S=352, I=160, N=561]
10phonemeMMSE_001ph03dB.rec:   31.37(  0.89)  [H= 176, D= 65, S=320, I=171, N=561]
10phonemeMMSE_001ph06dB.rec:   35.29(  4.10)  [H= 198, D= 73, S=290, I=175, N=561]
10phonemeMMSE_005ph-3dB.rec:   29.23( -3.21)  [H= 164, D= 64, S=333, I=182, N=561]
10phonemeMMSE_005ph-6dB.rec:   26.56( -4.63)  [H= 149, D= 51, S=361, I=175, N=561]
10phonemeMMSE_005ph00dB.rec:   28.52(  0.00)  [H= 160, D= 49, S=352, I=160, N=561]
10phonemeMMSE_005ph03dB.rec:   31.37(  0.89)  [H= 176, D= 65, S=320, I=171, N=561]
10phonemeMMSE_005ph06dB.rec:   35.29(  4.10)  [H= 198, D= 73, S=290, I=175, N=561]
10phonemeMMSE_010ph-3dB.rec:   29.23( -3.21)  [H= 164, D= 64, S=333, I=182, N=561]
10phonemeMMSE_010ph-6dB.rec:   26.56( -4.63)  [H= 149, D= 51, S=361, I=175, N=561]
10phonemeMMSE_010ph00dB.rec:   28.52(  0.00)  [H= 160, D= 49, S=352, I=160, N=561]
10phonemeMMSE_010ph03dB.rec:   31.37(  0.89)  [H= 176, D= 65, S=320, I=171, N=561]
10phonemeMMSE_010ph06dB.rec:   35.29(  4.10)  [H= 198, D= 73, S=290, I=175, N=561]
10pmo_001ph-3dB.rec:   33.69(-18.18)  [H= 189, D= 54, S=318, I=291, N=561]
10pmo_001ph-6dB.rec:   32.62(-25.13)  [H= 183, D= 49, S=329, I=324, N=561]
10pmo_001ph00dB.rec:   35.12(-15.15)  [H= 197, D= 52, S=312, I=282, N=561]
10pmo_001ph03dB.rec:   38.86(-13.55)  [H= 218, D= 70, S=273, I=294, N=561]
10pmo_001ph06dB.rec:   39.75(  0.18)  [H= 223, D= 58, S=280, I=222, N=561]
10pmo_005ph-3dB.rec:   33.69(-17.29)  [H= 189, D= 44, S=328, I=286, N=561]
10pmo_005ph-6dB.rec:   31.73(-19.61)  [H= 178, D= 56, S=327, I=288, N=561]
10pmo_005ph00dB.rec:   36.72(-13.90)  [H= 206, D= 47, S=308, I=284, N=561]
10pmo_005ph03dB.rec:   36.54( -6.95)  [H= 205, D= 46, S=310, I=244, N=561]
10pmo_005ph06dB.rec:   41.00( -0.53)  [H= 230, D= 49, S=282, I=233, N=561]
10pmo_010ph-3dB.rec:   34.22(-17.65)  [H= 192, D= 47, S=322, I=291, N=561]
10pmo_010ph-6dB.rec:   31.73(-20.68)  [H= 178, D= 44, S=339, I=294, N=561]
10pmo_010ph00dB.rec:   33.69(-13.73)  [H= 189, D= 50, S=322, I=266, N=561]
10pmo_010ph03dB.rec:   37.97(-10.34)  [H= 213, D= 54, S=294, I=271, N=561]
10pmo_010ph06dB.rec:   39.93( -4.63)  [H= 224, D= 42, S=295, I=250, N=561]
10pmo_050ph-3dB.rec:   33.69(-14.97)  [H= 189, D= 47, S=325, I=273, N=561]
10pmo_050ph-6dB.rec:   30.48(-18.72)  [H= 171, D= 41, S=349, I=276, N=561]
10pmo_050ph00dB.rec:   35.29(-16.76)  [H= 198, D= 57, S=306, I=292, N=561]
10pmo_050ph03dB.rec:   36.90( -9.09)  [H= 207, D= 49, S=305, I=258, N=561]
10pmo_050ph06dB.rec:   39.57( -5.35)  [H= 222, D= 50, S=289, I=252, N=561]
10pmo_100ph-3dB.rec:   33.33(-20.86)  [H= 187, D= 53, S=321, I=304, N=561]
10pmo_100ph-6dB.rec:   32.62(-21.21)  [H= 183, D= 62, S=316, I=302, N=561]
10pmo_100ph00dB.rec:   35.12(-12.66)  [H= 197, D= 45, S=319, I=268, N=561]
10pmo_100ph03dB.rec:   36.54(-10.34)  [H= 205, D= 51, S=305, I=263, N=561]
