algorithm,filename,Input SNR,utterances,pesq,pesqImp,segSNR,segSNRImp
mohammadiaOnline,mohammadiaOnline_001ut-6dB.wav,-6,1,2.070551,-0.110212,7.394235,-1.147202
mohammadiaOnline,mohammadiaOnline_001ut00dB.wav,0,1,2.436009,-0.060677,9.732766,0.263764
mohammadiaSupervised,mohammadiaSupervised_001ut-3dB.wav,-3,1,2.277307,-0.055067,8.042617,-0.798947
mohammadiaSupervised,mohammadiaSupervised_001ut-6dB.wav,-6,1,2.124166,-0.056597,10.454715,1.913278
mohammadiaSupervised,mohammadiaSupervised_001ut00dB.wav,0,1,2.433833,-0.062852,6.679609,-2.789393
mohammadiaSupervised,mohammadiaSupervised_001ut03dB.wav,3,1,2.603116,-0.062604,10.099185,-2.414478
mohammadiaSupervised,mohammadiaSupervised_001ut06dB.wav,6,1,2.785669,-0.046559,14.946713,-0.598418
mohammadiaSupervised,mohammadiaSupervised_005ut-3dB.wav,-3,5,2.074136,-0.258238,10.846490,2.004927
mohammadiaSupervised,mohammadiaSupervised_005ut-6dB.wav,-6,5,1.870151,-0.310613,11.063800,2.522362
mohammadiaSupervised,mohammadiaSupervised_005ut00dB.wav,0,5,2.556088,0.059403,16.663625,7.194623
mohammadiaSupervised,mohammadiaSupervised_005ut03dB.wav,3,5,2.339469,-0.326251,11.011723,-1.501939
mohammadiaSupervised,mohammadiaSupervised_005ut06dB.wav,6,5,2.436074,-0.396154,14.411165,-1.133967
mohammadiaSupervised,mohammadiaSupervised_010ut-3dB.wav,-3,10,2.046089,-0.286285,8.403509,-0.438055
mohammadiaSupervised,mohammadiaSupervised_010ut-6dB.wav,-6,10,1.875838,-0.304926,5.772765,-2.768672
mohammadiaSupervised,mohammadiaSupervised_010ut00dB.wav,0,10,2.504623,0.007938,14.793538,5.324536
mohammadiaSupervised,mohammadiaSupervised_010ut03dB.wav,3,10,2.261223,-0.404498,3.553228,-8.960435
mohammadiaSupervised,mohammadiaSupervised_010ut06dB.wav,6,10,2.404464,-0.427764,10.174307,-5.370824
mohammadiaSupervised,mohammadiaSupervised_050ut-3dB.wav,-3,50,2.074092,-0.258282,5.468391,-3.373173
mohammadiaSupervised,mohammadiaSupervised_050ut-6dB.wav,-6,50,1.906994,-0.273770,2.432376,-6.109062
mohammadiaSupervised,mohammadiaSupervised_050ut00dB.wav,0,50,2.527996,0.031311,10.020484,0.551482
mohammadiaSupervised,mohammadiaSupervised_050ut03dB.wav,3,50,2.305542,-0.360179,2.489336,-10.024327
mohammadiaSupervised,mohammadiaSupervised_050ut06dB.wav,6,50,2.399431,-0.432797,3.858217,-11.686914
mohammadiaSupervised,mohammadiaSupervised_080ut-3dB.wav,-3,80,2.061226,-0.271148,7.874839,-0.966725
mohammadiaSupervised,mohammadiaSupervised_080ut-6dB.wav,-6,80,1.908258,-0.272506,8.932603,0.391165
mohammadiaSupervised,mohammadiaSupervised_080ut00dB.wav,0,80,2.526531,0.029846,11.923739,2.454737
mohammadiaSupervised,mohammadiaSupervised_080ut03dB.wav,3,80,2.305343,-0.360378,8.877525,-3.636137
mohammadiaSupervised,mohammadiaSupervised_080ut06dB.wav,6,80,2.407311,-0.424917,10.416410,-5.128722
