"testNo","algorithm","Input.SNR","utterances","phonemes","filename","pesq","pesqImp","segSNR","segSNRImp","testName","MOS","MOSle","CMOS","PRRcorr","PRRacc","PRRdels","PRRsubs","PRRinss","PRRn","PRRcorrImp","PRRaccImp"
1,"mohammadiaOnline",-6,1,NA,"mohammadiaOnline_001ut-6dB.wav",1.199821,-0.166134,4.671353,1.175739,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaOnline",-6,5,NA,"mohammadiaOnline_005ut-6dB.wav",1.210069,-0.155885,5.522828,2.027214,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaOnline",-6,10,NA,"mohammadiaOnline_010ut-6dB.wav",1.197224,-0.16873,5.514441,2.018826,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaOnline",-6,50,NA,"mohammadiaOnline_050ut-6dB.wav",1.199461,-0.166494,5.36421,1.868595,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaOnline",-6,80,NA,"mohammadiaOnline_080ut-6dB.wav",1.207425,-0.158529,6.984969,3.489354,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaOnline",-3,1,NA,"mohammadiaOnline_001ut-3dB.wav",1.355999,-0.203951,4.331477,2.401586,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaOnline",-3,5,NA,"mohammadiaOnline_005ut-3dB.wav",1.376167,-0.183782,4.931112,3.001221,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaOnline",-3,10,NA,"mohammadiaOnline_010ut-3dB.wav",1.355818,-0.204131,5.311678,3.381787,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaOnline",-3,50,NA,"mohammadiaOnline_050ut-3dB.wav",1.374433,-0.185517,5.651848,3.721957,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaOnline",-3,80,NA,"mohammadiaOnline_080ut-3dB.wav",1.378802,-0.181147,4.48318,2.553289,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaOnline",0,1,NA,"mohammadiaOnline_001ut00dB.wav",1.556766,-0.176743,1.6383,-0.016978,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaOnline",0,5,NA,"mohammadiaOnline_005ut00dB.wav",1.553003,-0.180506,3.671851,2.016574,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
