ID,Title,Author,Name,Algorithm,Class,Supervised?,Sex,Noise,Input SNR,SDR,SIR,SAR,SegSNR,PESQ,WRR,WER
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",BNMF-HMM,BNMF,NMF,supervised,,"factory, city, babble",-5,5.236380064,8.230793149,4.846153846,4.509915014,0.286176464,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",BNMF-HMM,BNMF,NMF,supervised,,"factory, city, babble",0,5.368206529,9.784699409,7.653846154,4.419263456,0.400400508,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",BNMF-HMM,BNMF,NMF,supervised,,"factory, city, babble",5,4.718195615,9.277095078,11.69230769,3.847025496,0.455279756,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",BNMF-HMM,BNMF,NMF,supervised,,"factory, city, babble",10,3.722728403,8.907788187,15.5,3.150141643,0.480077703,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",General-model_BNMF,BNMF,NMF,supervised,,"factory, city, babble",-5,4.218193077,7.492287518,3.884615385,4.373937677,0.185365854,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",General-model_BNMF,BNMF,NMF,supervised,,"factory, city, babble",0,4.395459091,9.584702113,6.346153846,3.943342776,0.321541118,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",General-model_BNMF,BNMF,NMF,supervised,,"factory, city, babble",5,3.890918689,9.600167633,10.42307692,3.252124646,0.386171667,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",General-model_BNMF,BNMF,NMF,supervised,,"factory, city, babble",10,2.804526697,9.277013965,14,2.402266289,0.415847663,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",Oracle-BNMF,BNMF,NMF,supervised,,"factory, city, babble",-5,5.409092986,8.40002163,4.923076923,4.543909348,0.276420366,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",Oracle-BNMF,BNMF,NMF,supervised,,"factory, city, babble",0,5.604571365,10.15392519,7.769230769,4.498583569,0.390644411,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",Oracle-BNMF,BNMF,NMF,supervised,,"factory, city, babble",5,4.918211858,9.584783226,11.76923077,3.966005666,0.455279756,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",Oracle-BNMF,BNMF,NMF,supervised,,"factory, city, babble",10,3.913638463,9.138554298,15.53846154,3.314447592,0.484955752,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",Oracle-ML,BNMF,NMF,supervised,,"factory, city, babble",-5,4.127268297,6.030768815,6.192307692,3.235127479,0.200813008,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",Oracle-ML,BNMF,NMF,supervised,,"factory, city, babble",0,3.949987056,6.307823336,8.653846154,3.218130312,0.245931362,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",Oracle-ML,BNMF,NMF,supervised,,"factory, city, babble",5,3.009080803,6.077138338,11.34615385,2.69121813,0.254466748,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",Oracle-ML,BNMF,NMF,supervised,,"factory, city, babble",10,1.18636712,5.584702113,13.26923077,1.711048159,0.237798882,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",Oracle-NHMM,BNMF,NMF,supervised,,"factory, city, babble",-5,3.845433457,6.230820186,5.5,3.490084986,0.024387846,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",Oracle-NHMM,BNMF,NMF,supervised,,"factory, city, babble",0,4.313625266,7.077043706,8.692307692,3.677053824,0.119912704,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",Oracle-NHMM,BNMF,NMF,supervised,,"factory, city, babble",5,3.899994416,7.154046856,12.26923077,3.376770538,0.207312277,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",Oracle-NHMM,BNMF,NMF,supervised,,"factory, city, babble",10,2.804526697,6.677049114,15.53846154,2.657223796,0.241863923,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",STSA-GenGamma,BNMF,NMF,supervised,,"factory, city, babble",-5,2.545442086,6.015384407,2.653846154,3.031161473,0.089428496,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",STSA-GenGamma,BNMF,NMF,supervised,,"factory, city, babble",0,3.313635418,7.29242541,6.384615385,3.144475921,0.205278557,,
mohammadiha2013supervised,Supervised and unsupervised speech enhancement using nonnegative matrix factorization,"N. Mohammadiha, P. Smaragdis, A. Leijon",STSA-GenGamma,BNMF,NMF,supervised,,"factory, city, babble",5,3.24544564,7.6617323,10.42307692,2.923512748,0.273978943,,
